都道府県名	県庁所在地	郵便番号	県庁所在地住所	電話番号	ホームページリンク
北海道	札幌市	060-8588	北海道札幌市中央区北3条西6丁目	011-231-4111	北海道公式WEBサイト
青森県	青森市	030-8570	青森県青森市長島1-1-1	017-722-1111	青森県公式WEBサイト
岩手県	盛岡市	020-8570	岩手県盛岡市内丸10-1	019-651-3111	岩手県公式WEBサイト
宮城県	仙台市	980-8570	宮城県仙台市青葉区本町3-8-1	022-211-2111	宮城県公式WEBサイト
秋田県	秋田市	010-8570	秋田県秋田市山王4-1-1	018-860-1111	秋田県公式WEBサイト
山形県	山形市	990-8570	山形県山形市松波2-8-1	023-630-2211	山形県公式WEBサイト
福島県	福島市	960-8670	福島県福島市杉妻町2-16	024-521-1111	福島県公式WEBサイト
茨城県	水戸市	310-8555	茨城県水戸市笠原町978-6	029-301-1111	茨城県公式WEBサイト
栃木県	宇都宮市	320-8501	栃木県宇都宮市塙田1-1-20	028-623-2323	栃木県公式WEBサイト
群馬県	前橋市	371-8570	群馬県前橋市大手町1-1-1	027-223-1111	群馬県公式WEBサイト
埼玉県	さいたま市	330-9301	埼玉県さいたま市浦和区高砂3-15-1	048-824-2111	埼玉県公式WEBサイト
千葉県	千葉市	260-8667	千葉県千葉市中央区市場町1-1	043-223-2110	千葉県公式WEBサイト
東京都	新宿区	163-8001	東京都新宿区西新宿2-8-1	03-5321-1111	東京都公式WEBサイト
神奈川県	横浜市	231-8588	神奈川県横浜市中区日本大通1	045-210-1111	神奈川県公式WEBサイト
新潟県	新潟市	950-8570	新潟県新潟市中央区新光町4-1	025-285-5511	新潟県公式WEBサイト
富山県	富山市	930-8501	富山県富山市新総曲輪1-7	076-431-4111	富山県公式WEBサイト
石川県	金沢市	920-8580	石川県金沢市鞍月1-1	076-225-1111	石川県公式WEBサイト
福井県	福井市	910-8580	福井県福井市大手3-17-1	0776-21-1111	福井県公式WEBサイト
山梨県	甲府市	400-8501	山梨県甲府市丸の内1-6-1	055-237-1111	山梨県公式WEBサイト
長野県	長野市	380-8570	長野県長野市大字南長野字幅下692-2	026-232-0111	長野県公式WEBサイト
岐阜県	岐阜市	500-8570	岐阜県岐阜市薮田南2-1-1	058-272-1111	岐阜県公式WEBサイト
静岡県	静岡市	420-8601	静岡県静岡市葵区追手町9-6	054-221-2455	静岡県公式WEBサイト
愛知県	名古屋市	460-8501	愛知県名古屋市中区三の丸3-1-2	052-961-2111	愛知県公式WEBサイト
三重県	津市	514-8570	三重県津市広明町13番地	059-224-3070	三重県公式WEBサイト
滋賀県	大津市	520-8577	滋賀県大津市京町4-1-1	077-528-3993	滋賀県公式WEBサイト
京都府	京都市	602-8570	京都府京都市上京区下立売通新町西入薮ノ内町	075-451-8111	京都府公式WEBサイト
大阪府	大阪市	540-8570	大阪府大阪市中央区大手前2丁目	06-6941-0351	大阪府公式WEBサイト
兵庫県	神戸市	650-8567	兵庫県神戸市中央区下山手通5-10-1	078-341-7711	兵庫県公式WEBサイト
奈良県	奈良市	630-8501	奈良県奈良市登大路町30	0742-22-1101	奈良県公式WEBサイト
和歌山県	和歌山市	640-8585	和歌山県和歌山市小松原通1-1	073-432-4111	和歌山県公式WEBサイト
鳥取県	鳥取市	680-8570	鳥取県鳥取市東町1-220	0857-26-7111	鳥取県公式WEBサイト
島根県	松江市	690-8501	島根県松江市殿町１番地	0852-22-5111	島根県公式WEBサイト
岡山県	岡山市	700-8570	岡山県岡山市北区内山下2-4-6	086-224-2111	岡山県公式WEBサイト
広島県	広島市	730-8511	広島県広島市中区基町10-52	082-228-2111	広島県公式WEBサイト
山口県	山口市	753-8501	山口県山口市滝町1-1	083-922-3111	山口県公式WEBサイト
徳島県	徳島市	770-8570	徳島県徳島市万代町1-1	088-621-2500	徳島県公式WEBサイト
香川県	高松市	760-8570	香川県高松市番町4-1-10	087-831-1111	香川県公式WEBサイト
愛媛県	松山市	790-8570	愛媛県松山市一番町4-4-2	089-941-2111	愛媛県公式WEBサイト
高知県	高知市	780-8570	高知県高知市丸ノ内1-2-20	088-823-1111	高知県公式WEBサイト
福岡県	福岡市	812-8577	福岡県福岡市博多区東公園7-7	092-651-1111	福岡県公式WEBサイト
佐賀県	佐賀市	840-8570	佐賀県佐賀市城内1-1-59	0952-24-2111	佐賀県公式WEBサイト
長崎県	長崎市	850-8570	長崎県長崎市尾上町3-1	095-824-1111	長崎県公式WEBサイト
熊本県	熊本市	862-8570	熊本県熊本市中央区水前寺6-18-1	096-383-1111	熊本県公式WEBサイト
大分県	大分市	870-8501	大分県大分市大手町3-1-1	097-536-1111	大分県公式WEBサイト
宮崎県	宮崎市	880-8501	宮崎県宮崎市橘通東2-10-1	0985-26-7111	宮崎県公式WEBサイト
鹿児島県	鹿児島市	890-8577	鹿児島県鹿児島市鴨池新町10-1	099-286-2111	鹿児島県公式WEBサイト
沖縄県	那覇市	900-8570	沖縄県那覇市泉崎1-2-2	098-866-2333	沖縄県公式WEBサイト
